code,name
15,Производство кожаной и относящейся к ней продукции
15.1,"Дубление и выделка кожи; производство дорожных принадлежностей, шорно-седельных изделий; выделка и крашение меха"
15.2,Производство обуви
15.11,Дубление и выделка кожи; выделка и крашение меха
15.11.1,Дубление и выделка кожи
15.11.2,Производство искусственных кож и пленочных материалов
15.11.3,Выделка и крашение меха
15.12,"Производство дорожных принадлежностей, шорно-седельных изделий"
15.12.1,Производство дорожных принадлежностей и аналогичных изделий
15.12.2,Производство шорно-седельных изделий
15.20,Производство обуви
15.20.0,Производство обуви
16,"Производство деревянных и пробковых изделий, кроме мебели; производство изделий из соломки и материалов для плетения"
16.1,Лесопильное и строгальное производство
16.2,"Производство изделий из древесины, пробки, соломки и материалов для плетения"
16.10,Лесопильное и строгальное производство
16.10.1,Распиловка и строгание древесины
16.10.2,Антисептирование древесины
16.10.3,Производство сборных деревянных покрытий
16.21,"Производство шпона, фанеры, плит и панелей из древесины"
16.21.0,"Производство шпона, фанеры, плит и панелей из древесины"
16.22,Производство сборных паркетных покрытий
16.22.0,Производство сборных паркетных покрытий
16.23,Производство прочих деревянных строительных конструкций и столярных изделий
16.23.1,Производство деревянных изделий для строительства
16.23.2,"Производство сборных домов, преимущественно из дерева"
16.23.3,"Производство деревянных контейнерных, цельноперевозных и сборно-разборных зданий и помещений"
16.24,Производство деревянной тары
16.24.0,Производство деревянной тары
16.29,"Производство прочих деревянных изделий; производство изделий из пробки, соломки и материалов для плетения"
16.29.1,Производство разных деревянных изделий
16.29.2,Производство декоративных изделий из дерева
16.29.3,"Производство изделий из пробки, соломки и материалов для плетения"
17,Производство бумаги и бумажной продукции
17.1,"Производство древесной массы и целлюлозы, бумаги и картона"
17.2,Производство изделий из бумаги и картона
17.11,Производство древесной массы и целлюлозы
17.11.0,Производство древесной массы и целлюлозы
17.12,Производство бумаги и картона
17.12.0,Производство бумаги и картона
17.21,"Производство гофрированной бумаги и картона, бумажной и картонной тары"
17.21.1,Производство гофрированной бумаги и картона
17.21.2,Производство бумажной и картонной тары
17.22,Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения
17.22.0,Производство бумажных изделий хозяйственно-бытового и санитарно-гигиенического назначения
17.23,Производство писчебумажных изделий
17.23.0,Производство писчебумажных изделий
17.24,Производство обоев
17.24.0,Производство обоев
17.29,Производство прочих изделий из бумаги и картона
17.29.0,Производство прочих изделий из бумаги и картона
18,Полиграфическая деятельность и воспроизведение записанных носителей информации
18.1,Полиграфическая деятельность и предоставление услуг в этой области
18.2,Воспроизведение записанных носителей информации
18.11,Печатание газет
18.11.0,Печатание газет
18.12,Прочие виды печатного производства
18.12.0,Прочие виды печатного производства
18.13,Деятельность по подготовке материалов к печати и рапространению
18.13.0,Деятельность по подготовке материалов к печати и рапространению
18.14,"Брошюровочно-переплетная, отделочная деятельность и сопутствующие услуги"
18.14.0,"Брошюровочно-переплетная, отделочная деятельность и сопутствующие услуги"
18.20,Воспроизведение записанных носителей информации
18.20.1,Воспроизведение звукозаписей
18.20.2,Воспроизведение видеозаписей
18.20.3,Воспроизведение программного обеспечения и баз данных
19,Производство кокса и продуктов нефтепереработки
19.1,Производство продукции коксовых печей
19.2,"Производство продуктов нефтепереработки,брикетов из торфа и угля"
19.10,Производство продукции коксовых печей
19.10.0,Производство продукции коксовых печей
19.20,"Производство продуктов нефтепереработки,брикетов из торфа и угля"
19.20.1,Производство продуктов нефтепереработки
19.20.2,Агломерация торфа и производство торфяных брикетов
19.20.3,Агломерация и производство брикетов из каменного угля
19.20.4,Агломерация и производство брикетов из лигнита
20,Производство продуктов химической промышленности
20.1,"Производство основных химических веществ, удобрений и азотных соединений, пластмасс и синтетического каучука в первичных формах"
20.2,Производство пестицидов и прочей агрохимической продукции
20.3,"Производство красок, лаков и аналогичных покрытий, типографской краски и мастик"
20.4,"Производство мыла, моющих, чистящих, полирующих, парфюмерных и косметических средств"
20.5,Производство прочих химических продуктов
20.6,Производство искусственных и синтетических волокон
20.11,Производство промышленных газов
20.11.0,Производство промышленных газов
20.12,Производство красителей и пигментов
20.12.0,Производство красителей и пигментов
20.13,Производство прочих основных неорганических химических веществ
20.13.0,Производство прочих основных неорганических химических веществ
20.14,Производство прочих основных органических химических веществ
20.14.1,Производство дубильных веществ
20.14.2,Производство биоэтанола
20.14.3,Производство ациклических и циклических углеводородов из углеводородного сырья
20.14.4,Производство простых эфиров из углеводородного сырья
20.14.9,"Производство прочих основных органических химических веществ, не включенных в другие группировки"
20.15,Производство удобрений и азотосодержащих соединений
20.15.1,Производство удобрений
20.15.2,Производство азотосодержащих соединений
20.16,Производство пластмасс в первичных формах
20.16.1,"Производство пластмасс в первичных формах, кроме полимеров из углеводородного сырья"
20.16.2,Производство полимеров в первичных формах из углеводородного сырья
20.17,Производство синтетического каучука в первичных формах
20.17.0,Производство синтетического каучука в первичных формах
20.20,Производство пестицидов и прочей агрохимической продукции
20.20.0,Производство пестицидов и прочей агрохимической продукции
20.30,"Производство красок, лаков и аналогичных покрытий, типографской краски и мастик"
20.30.1,"Производство красок, лаков, эмалей и минеральных пигментов для них"
20.30.2,Производство готовых растворителей и разбавителей красок и лаков
20.41,"Производство мыла и моющих, чистящих и полирующих средств"
20.41.0,"Производство мыла и моющих, чистящих и полирующих средств"
20.42,Производство парфюмерных и косметических средств
20.42.0,Производство парфюмерных и косметических средств
20.51,Производство взрывчатых веществ
20.51.1,Производство взрывчатых веществ и прочих пиротехнических изделий
20.51.2,Производство спичек
20.52,Производство клея
20.52.0,Производство клея
20.53,Производство эфирных масел
20.53.0,Производство эфирных масел
20.59,"Производство прочих химических продуктов, не включенных в другие группировки"
20.59.1,Производство фотоматериалов
20.59.2,Производство желатина
20.59.3,"Производство материалов, используемых в отделке текстильных изделий"
20.59.4,"Производство технического углерода (сажи), углеродных нанотрубок, нановолокон и других углеродных наноматериалов"
20.59.9,Производство других химических продуктов
20.60,Производство искусственных и синтетических волокон
20.60.0,Производство искусственных и синтетических волокон
21,Производство основных фармацевтических продуктов и фармацевтических препаратов
21.1,Производство основных фармацевтических продуктов
21.2,Производство фармацевтических препаратов и медицинских материалов
21.10,Производство основных фармацевтических продуктов
21.10.0,Производство основных фармацевтических продуктов
21.20,Производство фармацевтических препаратов и медицинских материалов
21.20.1,Производство фармацевтических препаратов
21.20.2,Производство лекарственных препаратов для ветеринарии
22,Производство резиновых и пластмассовых изделий
22.1,Производство резиновых изделий
22.2,Производство пластмассовых изделий
22.11,"Производство резиновых шин, покрышек и камер; восстановление резиновых шин и покрышек"
22.11.1,"Производство резиновых шин, покрышек и камер"
22.11.2,Восстановление резиновых шин и покрышек
22.19,Производство прочих резиновых изделий
22.19.1,Производство резинотехнических изделий
22.19.2,Производство резиновых санитарно-гигиенических и медицинских изделий
22.21,"Производство пластмассовых плит, листов, труб и профилей"
22.21.0,"Производство пластмассовых плит, листов, труб и профилей"
22.22,Производство пластмассовых упаковок для товаров
22.22.0,Производство пластмассовых упаковок для товаров
22.23,Производство строительных пластмассовых изделий
22.23.1,"Производство пластмассовых изделий, используемых в строительстве"
22.23.2,Производство линолеума и прочих эластичных покрытий для пола
22.29,Производство прочих пластмассовых изделий
22.29.0,Производство прочих пластмассовых изделий
23,Производство прочей не металлической минеральной продукции
23.1,Производство стекла и изделий из стекла
23.2,Производство огнеупорных изделий
23.3,Производство строительных материалов из глины
23.4,Производство прочих фарфоровых и керамических изделий
23.5,"Производство цемента, извести и строительного гипса"
23.6,"Производство изделий из бетона, цемента и строительного гипса"
23.7,"Резка, обработка и отделка камня"
23.9,Производство абразивных изделий и прочей неметаллической минеральной продукции
23.11,Производство листового стекла
23.11.0,Производство листового стекла
23.12,Формирование и обработка листового стекла
23.12.0,Формирование и обработка листового стекла
23.13,Производство полых стеклянных изделий
23.13.1,Производство стеклянной тары
23.13.2,Производство хозяйственно-бытовых изделий из стекла и стеклянной посуды
